"Id";"Designator";"Package";"Quantity";"Designation";"Digikey PN"
"1";"TP2,TP3,TP1,TP4";"TP+195X110";"4";"TestPoint";"A106145CT-ND"
"2";"J1";"GCT_USB4505-03-0-A_REVA";"1";"USB4505-03-0-A_REVA";"2073-USB4505-03-0-ACT-ND"
"3";"R7,R8,R13,R14";"R_0402_1005Metric";"4";"600";"541-RCS0402604RFKEDCT-ND"
"4";"R5,R11";"R_0402_1005Metric";"2";"887K";"YAG3251CT-ND"
"5";"C5,C1";"C_1206_3216Metric";"2";"10uF";"490-6518-1-ND"
"6";"L5,L2";"LED_0603_1608Metric";"2";"GRN";"732-12017-1-ND"
"7";"R1,R2";"R_0402_1005Metric";"2";"5.1K";"YAG1457CT-ND"
"8";"R4,R10";"R_0402_1005Metric";"2";"10K";"13-AA0402FR-0710KLCT-ND"
"9";"L6,L3";"INDP_LPS4018-473MRB";"2";"47uH";"2457-LPS4018-473MRC-ND"
"10";"C7,C3";"C_0402_1005Metric";"2";"22uF";"1276-7090-1-ND"
"11";"C4,C8";"C_0402_1005Metric";"2";"2.2uF";"490-12267-1-ND"
"12";"L4,L1";"LED_0603_1608Metric";"2";"RED";"732-12016-1-ND"
"13";"U1,U2";"QFN-16_UD";"2";"LTC4121IUDTRPBF";"LTC4121EUD#PBF-ND"
"14";"C6,C2";"C_0402_1005Metric";"2";"22nF";"399-17166-1-ND"
"15";"R9,R3";"R_0402_1005Metric";"2";"3.01K";"13-RT0402FRE073KLCT-ND"
"16";"R12,R6";"R_0402_1005Metric";"2";"1780K";"13-RC0402FR-071M78LCT-ND"
"17";"BT1";"BAT_1048";"1";"1048";"36-1048-ND"
